CrySL File,CWE-ID(s)
AlgorithmParameterGenerator.crysl,CWE-326
AlgorithmParameterGenerator.crysl,CWE-327
AlgorithmParameterGenerator.crysl,CWE-329
AlgorithmParameterGenerator.crysl,CWE-330
AlgorithmParameters.crysl,CWE-330
AlgorithmParameters.crysl,CWE-326
AlgorithmParameters.crysl,CWE-325
AlgorithmParameters.crysl,CWE-916
CertificateFactory.crysl,CWE-295
CertificateFactory.crysl,CWE-693
CertPathTrustManagerParameters.crysl,CWE-330
CertPathTrustManagerParameters.crysl,CWE-295
Cipher.crysl,CWE-327
Cipher.crysl,CWE-329
Cipher.crysl,CWE-330
Cipher.crysl,CWE-338
Cipher.crysl,CWE-335
Cipher.crysl,CWE-704
Cipher.crysl,CWE-681
Cipher.crysl,CWE-284
Cipher.crysl,CWE-780
Cipher.crysl,CWE-1240
CipherInputStream.crysl,CWE-665
CipherInputStream.crysl,CWE-704
CipherInputStream.crysl,CWE-119
CipherInputStream.crysl,CWE-209
CipherInputStream.crysl,CWE-326
CipherInputStream.crysl,CWE-330
CipherInputStream.crysl,CWE-284
CipherInputStream.crysl,CWE-404
CipherInputStream.crysl,CWE-362
CipherInputStream.crysl,CWE-416
CipherInputStream.crysl,CWE-617
CipherInputStream.crysl,CWE-20
CipherInputStream.crysl,CWE-704
CipherInputStream.crysl,CWE-704
CipherInputStream.crysl,CWE-704
CipherInputStream.crysl,CWE-704
CipherInputStream.crysl,CWE-704
CipherOutputStream.crysl,CWE-665
CipherOutputStream.crysl,CWE-704
CipherOutputStream.crysl,CWE-209
Cookie.crysl,CWE-614
DHGenParameterSpec.crysl,CWE-326
DHParameterSpec.crysl,CWE-326
DigestInputStream.crysl,CWE-665
DigestInputStream.crysl,CWE-704
DigestInputStream.crysl,CWE-119
DigestInputStream.crysl,CWE-252
DigestInputStream.crysl,CWE-253
DigestOutputStream.crysl,CWE-305
DigestOutputStream.crysl,CWE-284
DigestOutputStream.crysl,CWE-704
DigestOutputStream.crysl,CWE-119
DigestOutputStream.crysl,CWE-1284
DigestOutputStream.crysl,CWE-345
DSAGenParameterSpec.crysl,CWE-326
DSAGenParameterSpec.crysl,CWE-327
DSAParameterSpec.crysl,CWE-326
ECGenParameterSpec.crysl,CWE-327
ECParameterSpec.crysl,CWE-326
ECParameterSpec.crysl,CWE-327
ECParameterSpec.crysl,CWE-1240
GCMParameterSpec.crysl,CWE-327
GCMParameterSpec.crysl,CWE-20
GCMParameterSpec.crysl,CWE-330
HMACParameterSpec.crysl,CWE-325
HMACParameterSpec.crysl,CWE-326
HMACParameterSpec.crysl,CWE-327
HMACParameterSpec.crysl,CWE-328
IvParameterSpec.crysl,CWE-330
IvParameterSpec.crysl,CWE-704
IvParameterSpec.crysl,CWE-131
Key.crysl,CWE-312
Key.crysl,CWE-319
Key.crysl,CWE-320
Key.crysl,CWE-499
Key.crysl,CWE-522
Key.crysl,CWE.532
KeyAgreement.crysl,CWE-325
KeyAgreement.crysl,CWE-330
KeyAgreement.crysl,CWE-320
KeyAgreement.crysl,CWE-327
KeyAgreement.crysl,CWE-295
KeyAgreement.crysl,CWE-916
KeyAgreement.crysl,CWE-338
KeyFactory.crysl,CWE-327
KeyGenerator.crysl,CWE-330
KeyGenerator.crysl,CWE-326
KeyGenerator.crysl,CWE-327
KeyManagerFactory.crysl,CWE-259
KeyManagerFactory.crysl,CWE-312
KeyManagerFactory.crysl,CWE-326
KeyPair.crysl,CWE-330
KeyPair.crysl,CWE-320
KeyPair.crysl,CWE-321
KeyPairGenerator.crysl,CWE-326
KeyPairGenerator.crysl,CWE-329
KeyPairGenerator.crysl,CWE-330
KeyPairGenerator.crysl,CWE-338
KeyPairGenerator.crysl,CWE-320
KeyStore.crysl,CWE-259
KeyStore.crysl,CWE-312
KeyStoreBuilderParameters.crysl,CWE-295
Mac.crysl,CWE-330
Mac.crysl,CWE-327
Mac.crysl,CWE-320
Mac.crysl,CWE-325
Mac.crysl,CWE-704
MessageDigest.crysl,CWE-327
MGF1ParameterSpec.crysl,CWE-327
OAEPParameterSpec.crysl,CWE-327
OAEPParameterSpec.crysl,CWE-328
PasswordAuthentication.crysl,CWE-259
PasswordAuthentication.crysl,CWE-312
PBEKeySpec.crysl,CWE-326
PBEKeySpec.crysl,CWE-259
PBEKeySpec.crysl,CWE-312
PBEKeySpec.crysl,CWE-330
PBEParameterSpec.crysl,CWE-916
PBEParameterSpec.crysl,CWE-330
PKIXBuilderParameters.crysl,CWE-330
PKIXBuilderParameters.crysl,CWE-295
PKIXBuilderParameters.crysl,CWE-321
PKIXParameters.crysl,CWE-330
PKIXParameters.crysl,CWE-295
PKIXParameters.crysl,CWE-321
PrivateKey.crysl,CWE-312
PrivateKey.crysl,CWE-319
PrivateKey.crysl,CWE-320
PrivateKey.crysl,CWE-321
PrivateKey.crysl,CWE-522
PrivateKey.crysl,CWE-532
PublicKey.crysl,CWE-295
PublicKey.crysl,CWE-347
RSAKeyGenParameterSpec.crysl,CWE-326
SecretKey.crysl,CWE-320
SecretKeyFactory.crysl,CWE-327
SecretKeyFactory.crysl,CWE-330
SecretKeyFactory.crysl,CWE-320
SecretKeySpec.crysl,CWE-326
SecretKeySpec.crysl,CWE-325
SecretKeySpec.crysl,CWE-330
SecretKeySpec.crysl,CWE-312
SecureRandom.crysl,CWE-330
SecureRandom.crysl,CWE-338
Signature.crysl,CWE-330
Signature.crysl,CWE-347
Signature.crysl,CWE-326
Signature.crysl,CWE-704
Signature.crysl,CWE-704
Signature.crysl,CWE-295
Signature.crysl,CWE-284
SSLContext.crysl,CWE-327
SSLContext.crysl,CWE-295
SSLContext.crysl,CWE-330
SSLContext.crysl,CWE-321
SSLEngine.crysl,CWE-327
SSLEngine.crysl,CWE-326
SSLParameters.crysl,CWE-327
SSLParameters.crysl,CWE-326
TrustAnchor.crysl,CWE-295
TrustManagerFactory.crysl,CWE-322
TrustManagerFactory.crysl,CWE-295
TrustManagerFactory.crysl,CWE-330
TrustManagerFactory.crysl,CWE-326
TrustManagerFactory.crysl,CWE-284
X509EncodedKeySpec.crysl,CWE-330
